[wavelength, intensities, timedelta, date, time]
>>>>>Begin Processed Spectral Data<<<<<
176.07412719726562 -0.1301633948904832 15.05412 2025-10-24 10-38-38-070879
176.37477111816406 0.17022798509460832 15.05412 2025-10-24 10-38-38-070879
176.67539978027344 0.005264239992359867 15.05412 2025-10-24 10-38-38-070879
176.9760284423828 0.1988343861942396 15.05412 2025-10-24 10-38-38-070879
177.2766571044922 0.41198308605550704 15.05412 2025-10-24 10-38-38-070879
177.5772705078125 0.005798410323896676 15.05412 2025-10-24 10-38-38-070879
177.8778839111328 0.25276665187986497 15.05412 2025-10-24 10-38-38-070879
178.17848205566406 0.007566297332364546 15.05412 2025-10-24 10-38-38-070879
178.4790802001953 -0.0032613005464945948 15.05412 2025-10-24 10-38-38-070879
178.7796630859375 0.09660079656074709 15.05412 2025-10-24 10-38-38-070879
179.0802459716797 0.0 15.05412 2025-10-24 10-38-38-070879
179.3808135986328 0.6237575344370705 15.05412 2025-10-24 10-38-38-070879
179.681396484375 0.11002414256743327 15.05412 2025-10-24 10-38-38-070879
179.98194885253906 -0.13196252013525833 15.05412 2025-10-24 10-38-38-070879
180.28250122070312 0.28732085368096577 15.05412 2025-10-24 10-38-38-070879
180.58303833007812 0.2809250778862632 15.05412 2025-10-24 10-38-38-070879
180.8835906982422 0.9711432599775399 15.05412 2025-10-24 10-38-38-070879
181.18411254882812 -0.06842147519661966 15.05412 2025-10-24 10-38-38-070879
181.48463439941406 -0.09134918822683886 15.05412 2025-10-24 10-38-38-070879
181.78517150878906 0.31552979249421614 15.05412 2025-10-24 10-38-38-070879
182.08567810058594 0.17778441707512632 15.05412 2025-10-24 10-38-38-070879
182.3861846923828 0.1839165965676381 15.05412 2025-10-24 10-38-38-070879
182.68667602539062 0.0 15.05412 2025-10-24 10-38-38-070879
182.98716735839844 0.2077100863445554 15.05412 2025-10-24 10-38-38-070879
183.28765869140625 0.3174204118521639 15.05412 2025-10-24 10-38-38-070879
183.588134765625 0.1781994888360141 15.05412 2025-10-24 10-38-38-070879
183.88861083984375 -0.10760003507373347 15.05412 2025-10-24 10-38-38-070879
184.18907165527344 0.3334413818029166 15.05412 2025-10-24 10-38-38-070879
184.48953247070312 0.06752623532284571 15.05412 2025-10-24 10-38-38-070879
184.78997802734375 0.0 15.05412 2025-10-24 10-38-38-070879
185.0904083251953 -0.031732246116288755 15.05412 2025-10-24 10-38-38-070879
185.39083862304688 0.01922916315986423 15.05412 2025-10-24 10-38-38-070879
185.69126892089844 0.019327838531287576 15.05412 2025-10-24 10-38-38-070879
185.99169921875 0.02380945561336819 15.05412 2025-10-24 10-38-38-070879
186.2921142578125 0.018530262734777515 15.05412 2025-10-24 10-38-38-070879
186.592529296875 0.010529026689826426 15.05412 2025-10-24 10-38-38-070879
186.89292907714844 0.004510341253002614 15.05412 2025-10-24 10-38-38-070879
187.19332885742188 0.015293447805730402 15.05412 2025-10-24 10-38-38-070879
187.49371337890625 0.027683655693159087 15.05412 2025-10-24 10-38-38-070879
